english,japanese,mistakes
I,???,0
I (more formal),????,0
I (informal for men),??,0
you,???,0
you (informal for both),??,0
he,??,0
she,????,0
we,?????,0
you (plural),?????,0
Mr/Ms (formal),??,0
Mr/Ms (more formal),?????,0
Mr (informal),??,0
Prefix for Child,???,0
Prefix for Old Man/Women,???,0
Yes (formal),??,0
No (formal),???,0
Yes (informal),??,0
Yes (informal),??,0
No (informal),???,0
This,??,0
That (near listener),??,0
That (away from both),??,0
this (NOUN),??,0
that (NOUN) (near),??,0
that (NOUN) (far),??,0
That person,?????,0
That person (formal),?????,0
Here,??,0
There,??,0
Over there or (That Place),???,0
Here (formal),???,0
There (formal),???,0
Over there (formal),???,0
from … to …,?????,0
… and …,?,0
". And, ",???,0
", but,",?,0
because ..,??,0
"on, above, over",??,0
"under, below, beneath",??,0
"front, before",??,0
"back, behind",???,0
right (side),??,0
left (side),???,0
"in, inside",??,0
"out, outside",??,0
next to,???,0
near,???,0
between,???,0
"… , … , and etc…",…?…??,0
but (new sentence),??,0
The beginning,???,0
"The end, OR The end of …",???,0
regarding/about ….,…?????,0
if,????????,0
Who?,??????,0
How old?,?????????,0
What?,??,0
What?,??,0
Where?,??,0
What floor?,????,0
How much? (price),???,0
What time? (in hours),???,0
What minute?,????,0
When?,??,0
what year?,????,0
what month?,????,0
How?,??,0
What kind of …?,???,0
Which?,??,0
Why?,????,0
How long?,?????,0
Which one of two things?,???,0
in what way...? Or How ….?,?????,0
Which?,??,0
Which+Noun?,??,0
where? (informal),???,0
together,?????,0
a little while (a bit),????,0
"always, usually",???,0
sometimes,????,0
after that / and then,????,0
already,??,0
not yet,??,0
"from now on, soon",????,0
very (+ve form),???,0
not so (-ve form),???,0
"well, much",??,0
"mostly, roughly",????,0
"many, much",????,0
"alittle, afew",???,0
not at all (-ve form),????,0
"early, quickly, fast",???,0
about (around),??,0
about (around),???,0
in total,????,0
only …,??,0
straight,????,0
slowly,????,0
immediately,??,0
again,??,0
later,???,0
alittle more,??????,0
"… more , another …",???…,0
separatly,??????,0
both things,????,0
the most ….,…?????,0
First of all,??,0
"next, …",???,0
before/by time ,???,0
therefore,????,0
espcially,???,0
by all means (like it very much),??,0
once,???,0
twice,??,0
never (not once),????,0
gradually,????,0
soon,????,0
imediately,??,0
go straight,????,0
all together,????,0
not easily,????,0
recently,????,0
probably or perhaps,???,0
surely or definitely,???,0
really,?????,0
not so,????,0
often,??,0
many times,?????,0
all,???,0
by oneself ?????,????,0
by everyone,????,0
besides (??? ???),???,0
"separatly, indiviually",?????,0
particularly or especially ??????,???,0
Nationality Suffix,??,0
… years old,??,0
Language Suffix,?,0
… th Step,???,0
#th floor,??,0
#-th,?,0
# people,??,0
# of machines/electronics,??,0
# of paper (thin objects),??,0
# of tall thin object,??,0
# times,??,0
# hours,???,0
# weeks,?????,0
# months,???,0
# years,??,0
