english,japanese,mistakes
Teacher (Mentor),せんせい,0
Teacher (Instructor),きょうし,0
Student,がくせい,0
Employee,しゃいん,0
Company,かいしゃ,0
Bank,ぎんこう,0
Bank Employee,ぎんこういん,0
Company Employee,かいしゃいん,0
Doctor,いしゃ,0
Researcher,けんきゅうしゃ,0
University,だいがく,0
Hospital,びょういん,0
Yes (formal),はい,0
No (formal),いいえ,0
House,いえ,0
Book,ほん,0
Dictionary,じしょ,0
Magazine,ざっし,0
Newspaper,しんぶん,0
Notebook,ノート,0
Business Card,めいし,0
Credit Card,カード,0
Pen,ペン,0
Pencil,えんぴつ,0
Mechanical Pencil,シャープペンシル,0
Key,かぎ,0
"Watch, Clock",とけい,0
Umberlla,かさ,0
Bag,かばん,0
Television,テレビ,0
Radio,ラジオ,0
Camera,カメラ,0
Computer,コンピューター,0
Car,くるま,0
Desk,つくえ,0
Chair,いす,0
Chocolate,チョコレート,0
Coffee,コーヒー,0
Present (Souvenir),おみやげ,0
English,えいご,0
Japanese,にほんご,0
Arabic,アラビアゴ,0
Classroom,きょうしつ,0
Dinning Hall (Canteen),しょくどう,0
Office,じむしょ,0
Meeting,かいぎ,0
Meeting room,かいぎしつ,0
Reception Desk,うけつけ,0
Lobby,ロビー,0
Room,へや,0
Toilet,（お）てあらい,0
Toilet (Katakana),トイレ,0
Stairs,かいだん,0
Elevator,エレベーター,0
Escalator,エスカレーター,0
Vending Machine,じどうはんばいき,0
Telephone,でんわ,0
Country,くに,0
Home,うち,0
Shoes,くつ,0
Neck-tie,ネクタイ,0
Wine,ワイン,0
Section in Depaato,うりば,0
Basement,ちか,0
Yen,えん,0
Department Store,デパート,0
Post Office,ゆうびんきょく,0
Library,としょかん,0
Art Museum,びじゅつかん,0
"Rest, Holiday",やすみ,0
Lunchbreak,ひるやすみ,0
Test,しけん,0
"Film, movie",えいが,0
School,がっこう,0
Supermarket,スーパー,0
Station,えき,0
Aeroplane,ひこうき,0
Ship,ふね,0
Electric train,でんしゃ,0
Subway,ちかてつ,0
Shinkansen,しんかんせん,0
Local train,ふつう,0
Rapid train,きゅうこう,0
Express train,とっきゅう,0
Bus,バス,0
Taxi,タクシー,0
Bicycle,じてんしゃ,0
On foot,あるいて,0
Person,ひと,0
Friend,ともだち,0
Boyfriend,かれし,0
Girlfriend,かのじょ,0
Family,かぞく,0
