english,japanese,mistakes
"to get up, wake up",おきます,0
to sleep,ねます,0
to work,はたらきます,0
to take rest or holiday,やすみます,0
to study,べんきょうします,0
to finish,おわります,0
to go,いきます,0
to come,きます,0
to return (home),かえります,0
to eat,たべます,0
to drink,のみます,0
to smoke (a cigarette),すいます,0
"to see, look, watch",みます,0
"to hear, listen",ききます,0
to read,よみます,0
"to write, draw, paint",かきます,0
to buy,かいます,0
to take (a photo),とります,0
"to do, to play",します,0
to meet a friend,あいます,0
to do homework,しゅくだいします,0
to play tennis,テニスをします,0
to play soccer,サッカーをします,0
to view blossom,おはなみします,0
"to cut, slice",きります,0
to send,おくります,0
to give,あげます,0
to receive,もらいます,0
to lend,かします,0
to borrow,かります,0
to teach,おしえます,0
to learn,ならいます,0
to know,しります,0
to make a phone call,かけます,0
to understand,わかります,0
to have,あります,0
to make cooked food,りょうりをします,0
to play sport,スポーツをします,0
to play baseball,やきゅうをします,0
to dance,ダンスをします,0
"to do trip, travel",りょこうをします,0
to have appointtment,やくそくをします,0
to have side job,アルバイトをします,0
to be or exist (livings),います,0
to be or exist (non-livings),あります,0
have (a child),います,0
be in (japan),います,0
takes ... تستخرق وقت-تتكفل مال مقابل,かかります,0
to take day off,やすみます,0
to do party,パーティーをします,0
to arrange flowers,いけばなをします,0
"to play ""enjoyful"" ليست رياضة",あそびます,0
to swim,およぎます,0
to meet (استقبال شخص في المطار),むかえます,0
to get tired,つかれます,0
to get married,けっこんします,0
to do shopping,かいものします,0
to eat a meal,しょこじします,0
to take a walk (in Park),さんぽします,0
to turn on (with elec.),つけます,0
to turn off (any),けします,0
to open (no elec.),あけます,0
"to close, shut (any)",しめます,0
to hurry,いそぎます,0
to wait,まちます,0
to hold (يحمل - يمتلك),もちます,0
"to take, pass (يأخذ - يعطي احد)",とります,0
"to help ""with task to do""",てつだいます,0
to call (ينادي),よびます,0
"to speak, talk",はなします,0
to use,つかいます,0
"to stop, OR to park",とめます,0
to show (someone),みせます,0
to tell (an address),おしえます,0
to sit down,すわります,0
to stand up,たちます,0
to enter (a café),はいります,0
to go out (a café),でます,0
to rain OR to snow,ふります,0
to copy,コビーします,0
to go fishing,つりをします,0
to do skiing,スキーをします,0
to put,おきます,0
"to make, produce",つくります,0
to sell,うります,0
to know …,しります,0
to be live in place,すみます,0
to do research,けんきゅうします,0
"to ride, get on (يركب)",のります,0
to get off (ينزل),おります,0
to change transportation,のりかえます,0
to take a shower,あびます,0
to put in or insert,いれます,0
to take out (يخرج أو يرسل),だします,0
to withdraw money,おろします,0
to enter university (or enroll),はいります,0
to graduate from university,でます,0
to push or press,おします,0
to drink alcohol,のみます,0
to start or begin,はじめます,0
"to tour, eductional visit",けんがくします,0
to make a phone call,でんわします,0
"to remember, recollect",おもいだします,0
"honorific eq. of いる, 行く, 来る",いらっしゃいます,0
to Confirm,かくにんします,0
to memorise,おぼえます,0
to forget,わすれます,0
to lose,なくします,0
to pay,はらいます,0
"to give back, return",かえします,0
to go out (خروجة),でかけます,0
to take off (يخلع ملابس),めぎます,0
to put on (upper; shirt...),きます,0
"to put on (lower; trouses, shoes...)",はきます,0
to put on (on head; hat...),かぶります,0
to put on (glasses) - أو يعلق شيء,かけます,0
"to put on (watch, tie or accessories)",とけいをします,0
to take (smth.) in his way,もっていきます,0
to bring (smth.) in his way,もってきます,0
"to worry, fail ",しんぱいします,0
to work overtime,ざんぎょうします,0
to go on a business trip,しゅっちょうします,0
to  take a medicine,のみます,0
to take a bath (Jap. traditions),はいります,0
to be able to …,できます,0
"to wash (ex: hands, plates)",あらいます,0
to play (يعزف),ひきます,0
to sing,うたいます,0
"to collect, gather",あつめます,0
to throw away,すてます,0
to exchange money,かえます,0
to drive,うんてんします,0
"to reserve, book",よやくします,0
to prepare studies,よしゅうします,0
to revise studies,ふくしゅうします,0
to pray,いのります,0
"to go up OR, climb mountain",のぼります,0
to stay at hotel,とまります,0
to clean a room,そうじします,0
to become,なります,0
to wash clothes,せんたくします,0
to require a visa OR need,いります,0
"to check, investigate",しらべます,0
to repair,しゅうりします,0
to practice,れんしゅうをします,0
to play golf,ゴルフをします,0
to play sumo,すもうをします,0
to make diet,ダイエットをします,0
to think,おもいます,0
to say,いいます,0
to win,かちます,0
"to lose, be beaten",まけます,0
to take place or held (festival),おまつり　が　あります,0
to be useful,やくにたちます,0
to move or work,うごきます,0
to quit or retire from company,やめます,0
to take care or pay attention,き　を　つけます,0
to play game or match,しあいします,0
to talk or speech,はなします,0
to be born يُولد,うまれます,0
to have humor,ユーモア　が　あります,0
to Ask (teacher),ききます,0
to turn يدير شيء,まわします,0
to pull,ひきます,0
to touch (a door),さわります,0
to come out (money change),おつり　が　でます,0
to walk,あるきます,0
to cross (a bridge),はし　を　わたります,0
to turn (to the right) ينعطف,みぎ　へ　まがります,0
to give,あげます,0
to give (me),くれます,0
"to repair, correct يصلح أو يصحح شيء",なおします,0
to take somone and go يرسل شخص ,つれて　いきます,0
to bring someone and comeيحضر شخص,つれて　きます,0
to go with someone يصتحب,ひと　を　おくります,0
to introduce,しょうかいします,0
to show the way to someone,あんないします,0
to explain,せつめいします,0
"to think, consider",かんがえます,0
to arrive,つきます,0
to study abroad,りゅうがくします,0
to grow old,とし　を　とります,0
"to be enough, sufficient",たります,0
to be transfer to another office,てんきんします,0
to breakdown,こしょうします,0
to prepare يعد أغراض ,じゅんびします,0
to move out ينقل سكن,ひっこしします,0
